wikidata,unapromessaID,twitter,nome,wikipediaIT,immagine,,,,,,,
Q15886083,UQ15886083,,FAVA Giovanni,https://it.wikipedia.org/wiki/Giovanni_Fava_(1968),http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/302/153/original_d302153.jpg,,,,,,,
Q15964456,UQ15964456,,MURER Delia,https://it.wikipedia.org/wiki/Delia_Murer,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/302/858/original_d302858.jpg,,,,,,,
Q15212457,UQ15212457,michele_meta,META Michele Pompeo,https://it.wikipedia.org/wiki/Michele_Pompeo_Meta,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/409/original_d301409.jpg,,,,,,,
Q3894431,UQ3894431,,ROSSI Paolo,https://it.wikipedia.org/wiki/Paolo_Rossi_(politico_1958),http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/302/294/original_d302294.jpg,,,,,,,
Q16533874,UQ16533874,BrunoCensore,CENSORE Bruno,https://it.wikipedia.org/wiki/Bruno_Censore,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/149/original_d306149.jpg,,,,,,,
Q8277714,UQ8277714,,KYENGE Cecile,https://it.wikipedia.org/wiki/Cécile_Kyenge,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/827/original_d305827.jpg,,,,,,,
Q266651,UQ266651,mara_carfagna,CARFAGNA Maria Rosaria,https://it.wikipedia.org/wiki/Mara_Carfagna,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/301/531/original_d301531.jpg,,,,,,,
Q16566836,UQ16566836,IvanDellaValle,DELLA VALLE Ivan,https://it.wikipedia.org/wiki/Ivan_Della_Valle,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/305/541/original_d305541.jpg,,,,,,,
Q13400951,UQ13400951,gianca_giordano,GIORDANO Giancarlo,https://it.wikipedia.org/wiki/Giancarlo_Giordano,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/294/original_d306294.jpg,,,,,,,
Q13400951,UQ13400951,gianca_giordano,GIORDANO Giancarlo,https://it.wikipedia.org/wiki/Giancarlo_Giordano,http://www.camera.it/application/xmanager/projects/leg17/attachments/shadow_deputato/has_fotos/000/306/294/original_d306294.jpg,,,,,,,
